Frequency,Channel A,Channel B
(ms),(V),(V)

12.17999969,-0.40972560,-2.29269200
12.19999969,-0.40185160,-2.21364400
12.21999969,-0.40972560,-2.21364400
12.23999969,-0.40185160,-2.21364400
12.25999969,-0.40185160,-2.13459600
12.27999969,-0.40185160,-2.13459600
12.29999969,-0.40185160,-2.05554900
12.31999969,-0.39394680,-2.05554900
12.33999969,-0.39394680,-2.05554900
12.35999969,-0.39394680,-1.97650100
12.37999969,-0.39394680,-1.97650100
12.39999969,-0.39394680,-1.89745300
12.41999969,-0.38607280,-1.89745300
12.43999969,-0.38607280,-1.89745300
12.45999969,-0.38607280,-1.81840600
12.47999968,-0.37819880,-1.73935800
12.49999968,-0.37819880,-1.81840600
12.51999968,-0.37819880,-1.73935800
12.53999968,-0.37819880,-1.73935800
12.55999968,-0.37819880,-1.66031000
12.57999968,-0.37819880,-1.66031000
12.59999968,-0.37819880,-1.58126200
12.61999968,-0.37032480,-1.58126200
12.63999968,-0.37032480,-1.58126200
12.65999968,-0.36245080,-1.50221500
12.67999968,-0.36245080,-1.42285900
12.69999968,-0.36245080,-1.42285900
12.71999968,-0.36245080,-1.42285900
12.73999968,-0.36245080,-1.34381200
12.75999968,-0.36245080,-1.34381200
12.77999968,-0.35457680,-1.26476400
12.79999968,-0.35457680,-1.26476400
12.81999968,-0.35457680,-1.18571600
12.83999968,-0.34667200,-1.18571600
12.85999968,-0.34667200,-1.10666800
12.87999967,-0.34667200,-1.10666800
12.89999967,-0.33879800,-1.10666800
12.91999967,-0.33879800,-1.02762100
12.93999967,-0.33092400,-1.02762100
12.95999967,-0.33092400,-0.94857280
12.97999967,-0.33092400,-0.94857280
12.99999967,-0.33092400,-0.86952510
13.01999967,-0.32305000,-0.86952510
13.03999967,-0.32305000,-0.86952510
13.05999967,-0.31517600,-0.79047740
13.07999967,-0.31517600,-0.79047740
13.09999967,-0.30730190,-0.71142970
13.11999967,-0.30730190,-0.71142970
13.13999967,-0.30730190,-0.71142970
13.15999967,-0.29939710,-0.63238190
13.17999967,-0.29939710,-0.63238190
13.19999967,-0.29152310,-0.63238190
13.21999967,-0.29152310,-0.55333420
13.23999967,-0.28364910,-0.55333420
13.25999967,-0.28364910,-0.47428640
13.27999966,-0.27577510,-0.47428640
13.29999966,-0.27577510,-0.39523870
