Frequency,Channel A,Channel B
(ms),(mV),(V)

13.45999966,126.63020000,-1.50129200
13.47999966,126.03040000,-1.53174200
13.49999966,125.39980000,-1.56188500
13.51999966,124.78470000,-1.59264300
13.53999966,124.15420000,-1.62309300
13.55999966,123.53900000,-1.65323600
13.57999966,122.93920000,-1.68368600
13.59999966,122.30870000,-1.71413600
13.61999966,121.67810000,-1.74458700
13.63999966,121.04760000,-1.77472900
13.65999965,120.44780000,-1.80487200
13.67999965,119.83270000,-1.83532200
13.69999965,119.24830000,-1.86515700
13.71999965,118.63310000,-1.89560800
13.73999965,118.01800000,-1.92575000
13.75999965,117.40280000,-1.95527800
13.77999965,116.78760000,-1.98542100
13.79999965,116.17250000,-2.01525600
13.81999965,115.57270000,-2.04509100
13.83999965,114.98830000,-2.07461900
13.85999965,114.38850000,-2.10414600
13.87999965,113.77340000,-2.13367400
13.89999965,113.18900000,-2.16289400
13.91999965,112.58920000,-2.19211400
13.93999965,111.98940000,-2.22164100
13.95999965,111.38960000,-2.25086100
13.97999965,110.77450000,-2.28008100
13.99999965,110.17470000,-2.30899400
14.01999965,109.60570000,-2.33790600
14.03999965,109.00590000,-2.36681800
14.05999964,108.42150000,-2.39573100
14.07999964,107.82170000,-2.42433600
14.09999964,107.23730000,-2.45263300
14.11999964,106.63750000,-2.48093000
14.13999964,106.05310000,-2.50953500
14.15999964,105.49950000,-2.53752500
14.17999964,104.94590000,-2.56551400
14.19999964,104.36150000,-2.59381200
14.21999964,103.80780000,-2.62149400
14.23999964,103.25420000,-2.64948300
14.25999964,102.68520000,-2.67685800
14.27999964,102.11610000,-2.70423200
14.29999964,101.57790000,-2.73160700
14.31999964,101.00890000,-2.75867400
14.33999964,100.45520000,-2.78574000
14.35999964,99.91695000,-2.81280800
14.37999964,99.37868000,-2.83925900
14.39999964,98.82504000,-2.86601900
14.41999964,98.25602000,-2.89277800
14.43999964,97.70238000,-2.91892200
14.45999963,97.14874000,-2.94475900
14.47999963,96.61048000,-2.97090300
14.49999963,96.07221000,-2.99674000
14.51999963,95.50319000,-3.02226900
14.53999963,94.94955000,-3.04841300
14.55999963,94.42667000,-3.07394200
14.57999963,93.88840000,-3.09885600
14.59999963,93.35014000,-3.12438500
14.61999963,92.82726000,-3.14960600
14.63999963,92.33513000,-3.17452000
14.65999963,91.82763000,-3.19943400
14.67999963,91.30474000,-3.22404000
14.69999963,90.79724000,-3.24864600
14.71999963,90.30511000,-3.27325300
14.73999963,89.78223000,-3.29755200
14.75999963,89.27472000,-3.32154300
14.77999963,88.76722000,-3.34584100
14.79999963,88.25971000,-3.36952500
14.81999963,87.75220000,-3.39290100
14.83999963,87.26009000,-3.41658500
14.85999962,86.76796000,-3.43996000
14.87999962,86.27583000,-3.46302900
14.89999962,85.78371000,-3.48609700
14.91999962,85.29157000,-3.50916600
14.93999962,84.81483000,-3.53223400
14.95999962,84.32270000,-3.55468800
14.97999962,83.84596000,-3.57744800
14.99999962,83.35383000,-3.59959400
15.01999962,82.89246000,-3.62174000
15.03999962,82.41572000,-3.64388500
15.05999962,81.95435000,-3.66572400
